"source_external_id","name","district","address","latitude","longitude","opening_hours","area_sqm","website","image_url"
"H0135-2","Gravidrom Lippstadt","Lippstadt","Erwitter Str. 159, 59557 Lippstadt","51.6857012075539","8.34553608878208","","","http://www.gravidrom.de/",""
"H0136-2","High Out Boulderhalle","Delbrück- Westenholz","Am Grubebach 17, 33129 Delbrück- Westenholz","51.800572186573","8.47685936914576","","","http://highout.de/",""
"H0137","Center of Gravity Boulderhalle","Bielefeld","Heidegrundweg 104-108, 33689 Bielefeld","51.9711945120572","8.55433605977592","","","http://www.center-of-gravity-boulderhalle.de/",""
"H0138","DAV Alpinzentrum Bielefeld","Bielefeld","Meisenstraße 65A, 33607 Bielefeld","52.0294544340107","8.57376938459099","","","http://alpinzentrum-bielefeld.de/",""
"H0139","Boulderhalle // Bootshaus","Bielefeld","Heeper Str. 364, 33719 Bielefeld","52.0463298120221","8.59033916524352","","","http://www.boulderhallebootshaus.de/",""
"H0140","BlocBuster Kletterhalle Bielefeld","Bielefeld","Herforder str. 265A, 33609 Bielefeld","52.051712188866","8.56270034978439","","","https://bb.blocbuster.net/",""
"H0141","Felsmeister Boulderhalle Bad Oeynhausen","Bad Oeynhausen","Königstraße 45, 32547 Bad Oeynhausen","52.2200153450301","8.83333028893147","","","https://felsmeister.de/",""
"H0142","High moves GmbH Kletterhalle","Bensheim","Albert-Einstein-Allee 8, 64625 Bensheim","49.6757798831208","8.64332253047692","","","http://www.kletterhalle-bensheim.de/",""
"H0143","Boulderwand am Regionalpark Besucherzentrum","Flörsheim am Main","Flakweg 76, 65439 Flörsheim am Main","50.0672898446291","8.44363578311677","","","http://www.regionalpark-rheinmain.de/",""
"H0144","Sportpark kelkheim","Kelkeheim","Mainblick 51A, 65779 Kelkeheim","50.1489419003993","8.49895424099601","","","http://www.sportpark-kelkheim.de/",""
"H0145","KletterBar Offenbach","Offenbach am Main","Sprendlinger Landstraße 177b, 63069 Offenbach am Main","50.1001163570817","8.74683314612115","","","https://kletterbar-offenbach.de/",""
"H0146","Dynochrom Boulderhalle Frankfurt","Frankfurt- Ost","Flinschstraße 45, 60388 Frankfurt- Ost","50.1506374081379","8.73636356923448","","","http://www.dynochrom.com/",""
"H0147","DAV Kletterzentrum Frankfurt","Frankfurt am Main","Homburger Landstraße 283, 60433 Frankfurt am Main","50.1635435778167","8.68634229191357","","","http://www.dav-klz-ffm.de/",""
"H0148","Kletterhalle Camp 4","Zweibrücken","Pariser Str. 24, 66482 Zweibrücken","49.2436833843152","7.40863502888098","","","https://www.campvier.de/",""
"H0149","Boulder Olymp","Bexbach","Kleinottweilerstraße 75, 66450 Bexbach","49.3607971174735","7.27263911920358","","","http://boulderolymp.de/",""
"H0150","KBA Boulderhalle","Saarbrücken","Herrensohrer Wiesen 1, 66125 Saarbrücken","49.2920861898795","7.0636889073258","","","http://www.kba-saar.de/",""
"H0151","Kletterzentrum Saarbrücken","Saarbrücken","Mainzer Str. 30, 66111 Saarbrücken","49.2483601306977","6.99643477781867","","","http://de.kletterzentrum-saarbruecken.de/",""
"H0152","DaDa Boulders","Wadgassen","Provinzialstraße 57, 66787 Wadgassen","49.2841825597229","6.81137621275527","","","https://www.dadaboulders.de/",""
"H0153","Kletterhalle Ensdorf","Ensdorf","Im Sportzentrum, 66806 Ensdorf","49.3305650859985","6.8330246847607","","","https://www.dav-saarbruecken.de/unsere-angebote/kletterhalle/",""
"H0154","Rocklands Kletterzentrum Saarlouis","Saarlouis","St. Nazairer Allee 10, 66740 Saarlouis","49.3369169553001","6.74116805308323","","","http://www.rocklands-climbing.de/",""
"H0155","Eifelblock Trier","Trier","Niederkircher Str. 10, 54294 Trier","49.7312585364898","6.6052917436942","","","http://www.eifelblock.de/",""
"H0156","Kletterhalle Cube Trier","Trier","Diedenhofener Str. 27C, 54294 Trier","49.7325083654668","6.61500202823071","","","https://www.cube-trier.de/",""
"H0157","Blocschokolade -bouldern / backen KG","Trier","Ruwerer Str. 27, 54292 Trier","49.7798302963965","6.7069709267505","","","http://www.blocschokolade.de/",""
"H0158","The Cave - Boulderhalle Wittich","Wittlich","Gottlieb-Daimler-Straße 22, 54516 Wittlich","49.9845640469452","6.90728455224232","","","http://cave-bouldern.de/",""
"H0159","Eifelblock Metternich","Metternich","Rübenacher Str. 104, 56072 Metternich","50.3792099732252","7.57525297385954","","","https://www.eifelblock.de/",""
"H0160","Andres Boulder Club","Aachen","Charlottenstraße 14, 52070 Aachen","50.7747168158373","6.10542260913388","","","http://andres-boulder-club.de/",""
"H0161","diehalle aachen","Aachen","Grüner Weg 22, 52070 Aachen","50.7885396287184","6.1015406715403","","","https://www.diehalle-aachen.de/",""
"H0162","BoulderEck Erftstadt","Erftstadt","Carl-Benz-Ring 2, 50374 Erftstadt","50.7964802623109","6.7832832074835","","","https://www.bouldereck.de/",""
"H0163","BRONX Rock Kletterhalle","Wesseling","Vorgebirgsstr. 5, 50389 Wesseling","50.8147691020477","6.99191175653655","","","http://www.bronxrock.de/",""
"H0164","Boulders Habitat","Bonn","Siemensstraße 20, 53121 Bonn","50.7395990036385","7.07130472924351","","","http://www.bouldershabitat.de/",""
"H0165","Boulders Habitat Beuel","Bonn-Beuel","Paulusstraße 22a, 53227 Bonn-Beuel","50.7400548057318","7.13090470396661","","","http://www.bouldershabitat.de/",""
"H0166","Kletterfabrik Köln","Ehrenfeld","Oskar-Jäger-Str. 173, 50825 Ehrenfeld","50.9486988295727","6.90700579144891","","","https://www.kletterfabrik.koeln/",""
